73,322,1
38,362,1
205,137,1
234,462,1
54,507,1
145,350,1
70,419,1
91,320,1
143,1297,1
245,486,1
173,404,1
287,878,1
100,373,1
3,262,1
95,557,1
186,1655,1
278,141,1
273,363,1
104,360,1
288,317,1
18,280,1
181,690,1
151,992,1
169,269,1
192,77,1
121,156,1
14,378,1
129,256,1
174,168,1
109,862,1
172,321,1
209,546,1
71,554,1
74,434,1
161,81,1
230,337,1
43,240,1
28,820,1
248,400,1
281,143,1
67,165,1
152,442,1
130,1177,1
93,273,1
185,978,1
271,271,1
261,129,1
294,2007,1
156,728,1
211,188,1
163,456,1
204,549,1
12,554,1
193,123,1
177,578,1
46,799,1
120,2261,1
24,161,1
47,371,1
9,189,1
167,271,1
141,502,1
228,194,1
229,1332,1
136,701,1
250,472,1
15,165,1
148,102,1
190,270,1
112,2673,1
8,145,1
299,2164,1
284,727,1
217,211,1
164,652,1
65,428,1
226,934,1
44,280,1
61,88,1
188,111,1
179,341,1
241,104,1
291,432,1
56,629,1
260,562,1
131,603,1
85,273,1
139,212,1
89,245,1
244,200,1
26,1082,1
194,296,1
254,581,1
128,1456,1
206,311,1
201,445,1
282,460,1
32,237,1
233,312,1
119,216,1
242,1535,1
60,280,1
165,469,1
166,899,1
154,211,1
236,741,1
197,460,1
64,215,1
59,261,1
199,658,1
219,428,1
213,249,1
78,116,1
292,821,1
135,354,1
114,259,1
4,413,1
249,365,1
175,175,1
227,111,1
96,505,1
58,1591,1
146,284,1
275,141,1
92,2650,1
300,388,1
83,589,1
105,148,1
269,190,1
34,963,1
198,351,1
111,723,1
252,255,1
101,298,1
17,287,1
22,509,1
107,121,1
103,43,1
127,142,1
106,584,1
220,306,1
33,264,1
239,89,1
125,66,1
144,777,1
285,217,1
195,243,1
138,423,1
29,624,1
155,413,1
115,288,1
149,2072,1
72,270,1
134,960,1
246,373,1
153,706,1
133,827,1
295,687,1
251,1205,1
276,382,1
116,614,1
231,443,1
289,360,1
51,569,1
123,252,1
41,402,1
81,297,1
55,206,1
19,707,1
48,753,1
224,248,1
7,1652,1
286,195,1
265,74,1
158,321,1
258,820,1
80,204,1
118,1621,1
84,2153,1
257,274,1
76,697,1
90,103,1
187,408,1
30,623,1
259,160,1
235,190,1
53,257,1
176,423,1
68,201,1
168,915,1
274,106,1
272,50,1
63,248,1
86,255,1
20,408,1
147,369,1
297,619,1
255,405,1
108,733,1
216,85,1
45,761,1
82,239,1
222,768,1
253,975,1
262,2197,1
10,920,1
49,494,1
5,585,1
280,249,1
264,109,1
232,38,1
87,631,1
263,658,1
160,225,1
170,754,1
178,1157,1
126,279,1
162,232,1
243,123,1
279,166,1
23,172,1
2,707,1
1,1546,1
203,1957,1
270,263,1
214,378,1
171,1411,1
52,1141,1
42,143,1
21,257,1
238,301,1
218,606,1
202,216,1
132,200,1
31,976,1
223,275,1
6,554,1
267,1162,1
196,580,1
225,476,1
208,536,1
298,1046,1
140,357,1
40,129,1
142,320,1
212,338,1
36,143,1
110,228,1
77,139,1
191,393,1
27,776,1
221,586,1
237,985,1
137,1357,1
277,205,1
57,303,1
159,238,1
247,588,1
122,466,1
207,131,1
200,100,1
113,544,1
62,644,1
184,1573,1
124,752,1
150,989,1
189,498,1
39,411,1
99,433,1
293,385,1
37,417,1
75,297,1
157,33,1
183,600,1
266,342,1
268,3139,1
296,501,1
98,314,1
66,855,1
94,2232,1
290,209,1
13,388,1
102,185,1
180,468,1
256,39,1
11,248,1
25,220,1
240,243,1
215,303,1
210,750,1
97,222,1
182,403,1
35,652,1
283,1429,1
50,2348,1
88,302,1
79,2020,1
69,367,1
117,358,1
16,161,1
